epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,51.7448,1.04063,0.87981,0.86214,0.82564,0.83513,0.85491,0.60806,1.22668,0.77362,0.92559,0.000352548,0.000352548,0.000352548
130,52.1024,0.93254,0.88838,0.89064,0.82535,0.82868,0.85213,0.61029,1.18601,0.77112,0.91697,0.000349724,0.000349724,0.000349724
131,52.4529,0.99236,0.87524,0.8973,0.93332,0.71049,0.85426,0.62745,1.13982,0.77624,0.91019,0.000346901,0.000346901,0.000346901
132,52.8265,0.96857,0.90146,0.92334,0.93703,0.71141,0.85451,0.63262,1.13171,0.78798,0.90914,0.000344077,0.000344077,0.000344077
133,53.1789,0.92774,0.89813,0.87964,0.93703,0.71141,0.85451,0.63262,1.13171,0.78798,0.90914,0.000341253,0.000341253,0.000341253
134,53.5266,0.92642,1.03758,0.88791,0.94413,0.70792,0.85767,0.62845,1.15442,0.78598,0.90723,0.000338429,0.000338429,0.000338429
135,53.8894,0.90739,0.91575,0.86788,0.92202,0.71612,0.86099,0.63124,1.15438,0.78943,0.90682,0.000335605,0.000335605,0.000335605
136,54.2427,0.85659,0.81412,0.88227,0.86879,0.80546,0.86817,0.63311,1.15513,0.78106,0.90896,0.000332781,0.000332781,0.000332781
137,54.5778,1.03932,1.02978,0.95637,0.86879,0.80546,0.86817,0.63311,1.15513,0.78106,0.90896,0.000329958,0.000329958,0.000329958
138,54.9282,0.8683,0.87592,0.85074,0.89159,0.80694,0.87081,0.63299,1.15271,0.75553,0.91188,0.000327134,0.000327134,0.000327134
139,55.4579,0.83802,0.81831,0.85441,0.93579,0.75602,0.87413,0.6457,1.14123,0.73526,0.91321,0.00032431,0.00032431,0.00032431
140,55.8187,0.91709,0.88799,0.87819,0.96028,0.74402,0.86696,0.63881,1.15511,0.71845,0.91172,0.000321486,0.000321486,0.000321486
141,56.1555,0.84908,0.87453,0.84592,0.96028,0.74402,0.86696,0.63881,1.15511,0.71845,0.91172,0.000318662,0.000318662,0.000318662
142,56.5193,0.86708,0.82062,0.83464,0.95948,0.73532,0.86533,0.63127,1.16281,0.73167,0.91302,0.000315838,0.000315838,0.000315838
143,56.8719,0.85502,0.82674,0.8522,0.84976,0.82348,0.86436,0.62937,1.15098,0.73732,0.91199,0.000313015,0.000313015,0.000313015
144,57.2027,0.85186,0.86529,0.88531,0.86364,0.79386,0.85931,0.62351,1.16014,0.74062,0.91583,0.000310191,0.000310191,0.000310191
145,57.6162,0.91892,0.85039,0.8844,0.86364,0.79386,0.85931,0.62351,1.16014,0.74062,0.91583,0.000307367,0.000307367,0.000307367
146,58.0062,0.94542,0.80704,0.87948,0.84728,0.80262,0.85728,0.61173,1.17798,0.76422,0.9197,0.000304543,0.000304543,0.000304543
147,58.3757,0.88832,0.84076,0.88604,0.84966,0.78497,0.85468,0.62494,1.17696,0.78101,0.92033,0.000301719,0.000301719,0.000301719
148,58.7377,0.86412,0.7995,0.85571,0.85153,0.77219,0.85439,0.61531,1.20316,0.7972,0.92777,0.000298895,0.000298895,0.000298895
149,59.0692,0.88089,0.85176,0.85578,0.85153,0.77219,0.85439,0.61531,1.20316,0.7972,0.92777,0.000296071,0.000296071,0.000296071
150,59.4137,0.94069,0.89307,0.87008,0.90794,0.72731,0.86078,0.62475,1.19782,0.78411,0.9304,0.000293248,0.000293248,0.000293248
151,59.7773,0.85721,0.82839,0.87298,0.90928,0.7375,0.85817,0.61944,1.16082,0.76352,0.92871,0.000290424,0.000290424,0.000290424
152,60.1346,0.94968,0.94295,0.86421,0.83315,0.80842,0.8639,0.63408,1.14018,0.7569,0.93301,0.0002876,0.0002876,0.0002876
153,60.5307,0.95558,0.88075,0.88486,0.83315,0.80842,0.8639,0.63408,1.14018,0.7569,0.93301,0.000284776,0.000284776,0.000284776
154,60.9052,0.87613,0.83699,0.88014,0.85816,0.80068,0.86901,0.6388,1.12589,0.76757,0.93226,0.000281952,0.000281952,0.000281952
155,61.2643,0.86367,0.87051,0.89562,0.83879,0.82045,0.87511,0.64327,1.11999,0.74514,0.9291,0.000279128,0.000279128,0.000279128
156,61.8479,0.77351,0.8154,0.87569,0.95632,0.70341,0.88009,0.64337,1.1105,0.72143,0.92503,0.000276305,0.000276305,0.000276305
157,62.2645,0.93075,0.77371,0.87479,0.95632,0.70341,0.88009,0.64337,1.1105,0.72143,0.92503,0.000273481,0.000273481,0.000273481
158,62.6655,0.86363,0.813,0.87783,0.67725,0.96358,0.89743,0.65998,1.11939,0.70946,0.92374,0.000270657,0.000270657,0.000270657
159,63.0167,0.9802,0.91122,0.88643,0.94671,0.7258,0.89343,0.64908,1.14134,0.72942,0.9214,0.000267833,0.000267833,0.000267833
